How did you hear about CCM?,What impacted your decision to attend CCM?,Ages,Interest in taking another class,Interested Classes,What motivated you to seek a computing class at CCM
"Family member or friend, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience'], 'Some Impact': ['Choice of programs', 'Online offerings', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Family/friend referral', 'Faculty/staff', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",18 and younger,3,"CyberSecurity, App Development, Computer Programming","Curiosity, Personal Enrichment, Career Advancement, Career Change, Professional Development, It’s a required class for the degree I’m seeking"
Other,"{'High Impact': [], 'Some Impact': [], 'No Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",21-24,3,No interested classes,It’s a required class for the degree I’m seeking
"Family member or friend, CCM Alumni, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Online offerings', 'Financial Aid'], 'Some Impact': ['Choice of programs', 'College reputation', 'Scholarships', 'Extra-curricular opportunities', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Family/friend referral', 'Faculty/staff', 'Small class sizes', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,4,"Web Development, Computer Programming, Game Design, Hardware Installation & Repair","To keep current in computing skills, Personal Enrichment, Career Advancement, It’s a required class for the degree I’m seeking"
"Family member or friend, Current CCM student, Other","{'High Impact': ['Location/convenience'], 'Some Impact': ['Affordable cost', 'Choice of programs', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Small class sizes', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Online offerings', 'Financial Aid', 'Scholarships', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,3,"Web Development, Machine Learning/Artificial Intelligence, Computer Programming",Other
"CCM Web site, Social Media, Family member or friend, Current CCM student, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Online offerings', 'Family/friend referral', 'Financial Aid', 'Small class sizes', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'Some Impact': ['Choice of programs', 'Faculty/staff', 'College reputation', 'Scholarships'], 'No Impact': ['Extra-curricular opportunities', 'Negative experience at another college', 'NJ Stars Program']}",18 and younger,1,No interested classes,It’s a required class for the degree I’m seeking
"CCM Web site, Current CCM student","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'Some Impact': [], 'No Impact': []}",25-34,4,No interested classes,"To keep current in computing skills, Curiosity, Personal Enrichment, Career Advancement, Career Change, Professional Development, Job Displacement, Financial, Relocation, It’s a required class for the degree I’m seeking"
Other,"{'High Impact': [], 'Some Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'No Impact': []}",25-34,4,No interested classes,To keep current in computing skills
"Family member or friend, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'College reputation', 'Financial Aid', 'Scholarships', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': [], 'No Impact': ['Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'Get college credit while in high school']}",18 and younger,2,No interested classes,"Curiosity, Personal Enrichment, It’s a required class for the degree I’m seeking"
"High School Teacher, High School Counselor","{'High Impact': ['Get college credit while in high school'], 'Some Impact': ['Location/convenience'], 'No Impact': ['Affordable cost', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school']}",18 and younger,2,No interested classes,"Curiosity, Personal Enrichment, Career Advancement, It’s a required class for the degree I’m seeking"
"Family member or friend, CCM Alumni","{'High Impact': [], 'Some Impact': ['Affordable cost', 'Choice of programs'], 'No Impact': ['Location/convenience', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",18 and younger,1,No interested classes,Other
"Social Media, Community Event, Family member or friend, CCM Alumni, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Small class sizes', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'Some Impact': ['Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation'], 'No Impact': ['Financial Aid', 'Scholarships', 'Extra-curricular opportunities', 'Negative experience at another college', 'NJ Stars Program']}",19-20,3,"Web Development, App Development",It’s a required class for the degree I’m seeking
Family member or friend,"{'High Impact': ['Location/convenience', 'Choice of programs', 'Family/friend referral', 'Financial Aid', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': [], 'No Impact': ['Affordable cost', 'Online offerings', 'Faculty/staff', 'College reputation', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",25-34,3,"Computer Programming, Game Design, Hardware Installation & Repair","To keep current in computing skills, Curiosity, It’s a required class for the degree I’m seeking"
"CCM Web site, Social Media, Community Event, Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Choice of programs', 'College reputation', 'Financial Aid', 'Scholarships'], 'No Impact': ['Get college credit while in high school']}",19-20,1,Data Analytics,It’s a required class for the degree I’m seeking
